<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
COR 102-01;FYI: Reading  Writing;3;4;MTH;11:30AM-12:45PM;Kelly Bowen; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 103;
COR 102-02;FYI: Reading  Writing;3;4;MTH;1PM-2:15PM;David Kite; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 103;
COR 102-03;FYI: Reading  Writing;3;9;MTH;8:30AM-9:45AM;Alfonso Capone; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-04;FYI: Reading  Writing;3;4;MTH;10AM-11:15AM;Alfonso Capone; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-05;FYI: Reading  Writing;3;2;MTH;10AM-11:15AM;Erik Esckilsen; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 313;
COR 102-06;FYI: Reading  Writing;3;1;TF;11:30AM-12:45PM;Erik Esckilsen; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-07;FYI: Reading  Writing;3;-1;MTH;2:30PM-3:45PM;Erik Esckilsen; 8/25 - 12/12;Take COR-101 concurr... more;CCM 444;
COR 102-08;FYI: Reading  Writing;3;1;TF;10AM-11:15AM;Jeffrey Haig; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 212;
COR 102-09;FYI: Reading  Writing;3;1;TF;11:30AM-12:45PM;Jeffrey Haig; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 212;
COR 102-12;FYI: Reading  Writing;3;6;MTH;11:30AM-12:45PM;David Kite; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 212;
COR 102-14;FYI: Reading  Writing;3;9;TF;8:30AM-9:45AM;Frank Robinson; 8/25 - 12/12;Take COR-101 concurr... more;GBTC 217;
COR 102-15;FYI: Reading  Writing;3;8;TF;10AM-11:15AM;Frank Robinson; 8/25 - 12/12;Take COR-101 concurr... more;GBTC 217;
COR 102-16;FYI: Reading  Writing;3;1;TF;1PM-2:15PM;David Rous; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-17;FYI: Reading  Writing;3;10;TF;2:30PM-3:45PM;David Rous; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-18;FYI: Reading  Writing;3;7;TF;4PM-5:15PM;David Rous; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 202;
COR 102-19;FYI: Reading  Writing;3;0;W;9AM-11:45AM;William Stratton; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 311;
COR 102-20;FYI: Reading  Writing;3;9;MTH;1PM-2:15PM;Kelly Thomas; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 212;
COR 102-21;FYI: Reading  Writing;3;4;MTH;2:30PM-3:45PM;Kelly Thomas; 8/25 - 12/12;Take COR-101 concurr... more;JOYC 212;
COR 103-01;Navigating Information;3;1;MTH;1PM-2:15PM;Zachary LaMalfa; 8/25 - 12/12;None;JOYC 202;
COR 104-51;FYI: Making/Doing;3;5;TH;5:30PM-8:15PM;Fiadhnait Moser-Hardy; 8/25 - 12/12;None;MIC 305/306;
COR 201-01;Science Meaning Making;3;0;MTH;8:30AM-9:45AM;Charles Bashaw; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 304;
COR 201-02;Science Meaning Making;3;0;MTH;10AM-11:15AM;Charles Bashaw; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 304;
COR 201-03;Science Meaning Making;3;1;W;9AM-11:45AM;Cynthia Brandenburg; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 203;
COR 201-04;Science Meaning Making;3;0;TH;1PM-3:45PM;Kristian Brevik; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 304;
COR 201-05;Science Meaning Making;3;0;MTH;11:30AM-12:45PM;Ariel Burgess; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 201-06;Science Meaning Making;3;1;MTH;1PM-2:15PM;Alfonso Capone; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
COR 201-07;Science Meaning Making;3;3;TF;8:30AM-9:45AM;Alfonso Capone; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 311;
COR 201-09;Science Meaning Making;3;3;TF;11:30AM-12:45PM;David Kite; 8/25 - 12/12;Take COR-101, COR-10... more;CCM 444;
COR 201-10;Science Meaning Making;3;2;TF;1PM-2:15PM;David Kite; 8/25 - 12/12;Take COR-101, COR-10... more;CCM 444;
COR 201-11;Science Meaning Making;3;0;MTH;2:30PM-3:45PM;Fred Kosnitsky; 8/25 - 12/12;Take COR-101, COR-10... more;JOYC 301;
COR 201-12;Science Meaning Making;3;7;TF;8:30AM-9:45AM;Kristin Wolf; 8/25 - 12/12;Take COR-101, COR-10... more;FOST 100;
